iter	Passed	Remaining
0	1	160
1	3	150
2	4	149
3	5	138
4	7	139
5	9	141
6	10	142
7	12	142
8	13	141
9	15	140
10	17	139
11	18	137
12	20	136
13	22	135
14	23	133
15	24	131
16	29	145
17	37	168
18	45	192
19	49	197
20	52	198
21	56	199
22	58	197
23	68	215
24	73	219
25	80	228
26	81	220
27	84	217
28	96	236
29	98	230
30	100	224
31	105	223
32	107	219
33	110	213
34	111	207
35	113	202
36	115	197
37	118	192
38	119	187
39	121	181
40	122	176
41	123	169
42	124	164
43	125	160
44	127	155
45	130	152
46	132	148
47	134	145
48	135	141
49	137	137
50	138	133
51	139	129
52	141	125
53	144	122
54	145	119
55	148	116
56	151	114
57	153	111
58	156	108
59	162	108
60	164	105
61	166	102
62	168	98
63	170	95
64	172	92
65	174	89
66	176	86
67	177	83
68	179	80
69	181	77
70	183	74
71	184	71
72	187	69
73	189	66
74	191	63
75	192	60
76	194	58
77	195	55
78	197	52
79	199	49
80	200	47
81	202	44
82	203	41
83	205	39
84	207	36
85	209	34
86	210	31
87	211	28
88	212	26
89	214	23
90	215	21
91	216	18
92	218	16
93	220	14
94	221	11
95	223	9
96	224	6
97	226	4
98	227	2
99	228	0
